1	"abbatial"	"A"	"NEUTRE"	"100%"
1	"abbaye"	"Nf"	"NEUTRE"	"100%"
1	"abbé"	"Nm"	"NEUTRE"	"100%"
1	"abbesse"	"Nf"	"NEUTRE"	"100%"
2	"abdomen"	"Nm"	"NEUTRE"	"100%"
2	"abdominal"	"A"	"NEUTRE"	"100%"
3	"abeillage"	"N"	"NEUTRE"	"0,33%"
3	"abeille"	"Nf"	"NEUTRE"	"0,33%"
3	"abeiller"	"V"	"NEUTRE"	"0,33%"
3	"abeillon"	"N"	"NEUTRE"	"0,33%"
4	"abîme"	"Nm"	"NEG"	"0,33%"
4	"abîmer"	"V"	"NEG"	"0,33%"
5	"able"	"Nm"	"NEUTRE"	"0,33%"
5	"ableret"	"Nm"	"NEUTRE"	"0,33%"
5	"ablette"	"Nf"	"NEUTRE"	"0,33%"
6	"aboi"	"Nm"	"NEG"	"0,33%"
6	"aboiement"	"Nm"	"NEG"	"0,33%"
6	"aboyer"	"V"	"NEG"	"0,33%"
6	"aboyeur"	"A"	"NEG"	"0,33%"
7	"abri"	"Nm"	"POS"	"0,33%"
7	"abriter"	"V"	"POS"	"0,33%"
8	"abside"	"Nf"	"NEUTRE"	"0,33%"
8	"absidial"	"A"	"NEUTRE"	"0,33%"
8	"absidiole"	"Nf"	"NEUTRE"	"0,33%"
9	"absurde"	"Nm"	"NEG"	"0,33%"
9	"absurdement"	"Adv"	"NEG"	"0,33%"
9	"absurdité"	"Nf"	"NEG"	"0,33%"
10	"acabit"	"Nm"	"NEUTRE"	"0,33%"
11	"académicien"	"N"	"POS"	"0,66%"
11	"académie"	"Nf"	"POS"	"0,66%"
11	"académique"	"A"	"POS"	"0,66%"
11	"académiquement"	"Adv"	"POS"	"0,66%"
11	"académisme"	"Nm"	"POS"	"0,66%"
12	"acariâtre"	"A"	"NEG"	"100%"
12	"acariâtreté"	"Nf"	"NEG"	"100%"
13	"accablement"	"Nm"	"NEG"	"0,33%"
